YY,MM,RR
1963,9,11.2377358491
1963,9,39.9377358491
1963,9,3.9377358491
1963,9,15.0377358491
1963,9,8.2377358491
1963,9,7.4377358491
1964,5,-3.9622641509
1964,5,16.8377358491
1964,5,-3.9622641509
1964,5,-3.3622641509
1964,5,4.9377358491
1964,5,-3.9622641509
1964,5,13.5377358491
1964,5,6.7377358491
1964,5,-1.1622641509
1964,5,-3.9622641509
1964,5,-3.9622641509
1964,5,-3.9622641509
1964,5,1.8377358491
1964,5,3.9377358491
1964,5,2.3377358491
1964,5,-3.9622641509
1964,5,33.8377358491
1964,5,17.6377358491
1964,5,9.5377358491
1964,5,-3.1622641509
1964,5,-3.9622641509
1964,5,-2.0622641509
1964,5,29.6377358491
1964,5,4.2377358491
1964,5,5.9377358491
1964,5,14.6377358491
1964,5,-3.6622641509
1964,5,-3.9622641509
1964,5,-2.6622641509
1964,5,-3.9622641509
1964,5,0.3377358491
1964,6,-2.1622641509
1964,6,33.5377358491
1964,6,64.6377358491
1964,6,14.3377358491
1964,6,4.6377358491
1964,6,82.6377358491
1964,6,23.2377358491
1964,6,-1.4622641509
1964,6,-3.1622641509
1964,6,23.5377358491
1964,6,33.9377358491
1964,6,-3.1622641509
1964,6,-3.9622641509
1964,6,10.3377358491
1964,6,1.8377358491
1964,6,18.6377358491
1964,6,-2.1622641509
1964,6,-0.9622641509
1964,6,9.7377358491
1964,6,7.5377358491
1964,6,18.6377358491
1964,6,22.9377358491
1964,6,23.7377358491
1964,6,-3.6622641509
1964,6,-3.1622641509
1964,6,-0.3622641509
1964,6,-1.1622641509
1964,6,-2.9622641509
1964,6,4.3377358491
1964,6,31.6377358491
1964,7,3.8377358491
1964,7,-3.4622641509
1964,7,6.7377358491
1964,7,-3.9622641509
1964,7,-3.9622641509
1964,7,-3.9622641509
1964,7,0.1377358491
1964,7,-3.6622641509
1964,7,-3.9622641509
1964,7,12.5377358491
1964,7,-3.6622641509
1964,7,24.5377358491
1964,7,12.5377358491
1964,7,-3.1622641509
1964,7,0.7377358491
1964,7,0.8377358491
1964,7,-0.1622641509
1964,7,2.1377358491
1964,7,-3.9622641509
1964,7,-3.9622641509
1964,7,0.8377358491
1964,7,8.2377358491
1964,7,52.1377358491
1964,7,37.2377358491
1964,7,4.7377358491
1964,7,-3.4622641509
1964,7,-2.1622641509
1964,7,-3.9622641509
1964,7,3.4377358491
1964,7,43.0377358491
1964,7,10.8377358491
1964,8,15.5377358491
1964,8,-3.4622641509
1964,8,6.2377358491
1964,8,10.5377358491
1964,8,-1.8622641509
1964,8,365.6377358491
1964,8,261.7377358491
1964,8,15.3377358491
1964,8,-1.9622641509
1964,8,35.4377358491
1964,8,10.5377358491
1964,8,6.9377358491
1964,8,11.0377358491
1964,8,57.5377358491
1964,8,66.6377358491
1964,8,22.9377358491
1964,8,57.1377358491
1964,8,170.5377358491
1964,8,259.2377358491
1964,8,259.6377358491
1964,8,58.7377358491
1964,8,29.6377358491
1964,8,3.9377358491
1964,8,-1.1622641509
1964,8,-1.6622641509
1964,8,-0.8622641509
1964,8,-2.6622641509
1964,8,17.6377358491
1964,8,18.6377358491
1964,8,2.1377358491
1964,8,-0.6622641509
1964,9,15.6377358491
1964,9,-3.9622641509
1964,9,115.6377358491
1964,9,-2.1622641509
1964,9,1.1377358491
1964,9,8.2377358491
1964,9,-3.9622641509
1964,9,178.1377358491
1964,9,29.8377358491
1964,9,3.9377358491
1964,9,-3.1622641509
1964,9,-3.1622641509
1964,9,-3.4622641509
1964,9,-2.1622641509
1964,9,2.7377358491
1964,9,-1.6622641509
1964,9,1.1377358491
1964,9,33.4377358491
1964,9,7.2377358491
1964,9,5.1377358491
1964,9,21.7377358491
